PWR;J;S1;S2;m1;m2;mH2;mAzi;u1;u2;Re1;Re2;PhiTot;PhiInt;Xst;Zst;rho1;rho2;d1;d2;MW1;MW2;Z1;Image_Name
9.999927016;0.578030985;0.29;0.70;0.001500658;0.006733497;8.33605E-05;0.003401836;78.4;45.1;18011;20283;0.35;2.0;0.478536726;0.343974411;0.677275639;1.179466429;0.006;0.015;16.56056413;28.84;70.40946292;P2S29S07.png
10.00946308;0.57441265;0.29;0.80;0.00150569;0.006731469;8.344E-05;0.003867216;78.5;45.1;18069;20277;0.35;2.0;0.478880054;0.344514997;0.677966081;1.179466429;0.006;0.015;16.57744663;28.84;26.64972319;P2S29S08.png
10.00052695;0.574380262;0.29;0.88;0.001500643;0.006712235;8.33655E-05;0.004257899;78.4;45.0;18011;20219;0.35;2.0;0.478526744;0.34395869;0.677255549;1.179466429;0.006;0.015;16.56007288;28.84;25.82448723;P2S29S088.png
9.994830449;0.568357415;0.60;0.00;0.00150377;0.00668709;8.3318E-05;0;78.4;44.8;18046;20143;0.35;2.0;0.478906852;0.344557184;0.67801993;1.179466429;0.006;0.015;16.57876333;28.84;31.37832503;P2S6S0.png
10.07858098;0.586191916;-0.60;0.00;0.001496202;0.006776354;8.40162E-05;0;78.5;45.4;17968;20412;0.35;2.0;0.476991791;0.341539616;0.674156431;1.179466429;0.006;0.015;16.48429407;28.84;32.61251121;P2Sm6S0.png
9.992007911;0.566458982;0.60;0.84;0.001503389;0.006674179;8.32945E-05;0.004018123;78.4;44.8;18042;20104;0.35;2.0;0.478911006;0.344563724;0.678028278;1.179466429;0.006;0.015;16.57896744;28.84;30.29841213;P2S6S084.png
9.993362044;0.571130644;0.60;0.98;0.001503392;0.006701848;8.33058E-05;0.004706023;78.4;44.9;18042;20187;0.35;2.0;0.478891859;0.344533581;0.677989803;1.179466429;0.006;0.015;16.57802667;28.84;16.72236417;P2S6S097.png
10.01766787;0.563834519;0.87;0.00;0.001507987;0.00667837;8.35084E-05;0;78.6;44.8;18096;20117;0.35;2.0;0.478981125;0.344674105;0.678169149;1.179466429;0.006;0.015;16.582412;28.84;28.7556794;P2S87S0.png
10.01766787;0.563834519;0.87;0.00;0.001507987;0.00667837;8.35084E-05;0;78.6;44.8;18096;20117;0.35;2.0;0.478981125;0.344674105;0.678169149;1.179466429;0.006;0.015;16.582412;28.84;28.7556794;P2S87S0.png
10.04165944;0.574597864;-0.87;0.00;0.001493735;0.006695045;8.37084E-05;0;78.3;44.9;17937;20167;0.35;2.0;0.47727987;0.3419939;0.674739591;1.179466429;0.006;0.015;16.49855336;28.84;27.21294668;P2Sm87S0.png
10.0142054;0.573276481;0.87;0.82;0.001507288;0.006731103;8.34795E-05;0.003985343;78.6;45.1;18088;20275;0.35;2.0;0.478964216;0.344647488;0.678135183;1.179466429;0.006;0.015;16.58158145;28.84;26.59585359;P2S87S082.png
10.04166516;0.576679617;-0.87;0.86;0.001493535;0.00670646;8.37084E-05;0.004140457;78.3;45.0;17935;20201;0.35;2.0;0.477260745;0.341963746;0.674700899;1.179466429;0.006;0.015;16.49760725;28.84;21.04201579;P2Sm87S086.png
10.01498817;0.576468513;0.87;1.00;0.0015075;0.006750677;8.34861E-05;0.004844015;78.6;45.3;18091;20334;0.35;2.0;0.478973185;0.344661605;0.678153199;1.179466429;0.006;0.015;16.58202198;28.84;20.27064943;P2S87S099.png
10.03924257;0.577469621;-0.87;1.02;0.001493121;0.00670924;8.36883E-05;0.004925492;78.3;45.0;17930;20210;0.35;2.0;0.47725554;0.341955537;0.674690366;1.179466429;0.006;0.015;16.4973497;28.84;14.09971854;P2Sm87S102.png
10.00164111;1.800846847;0.29;0.00;0.000800374;0.00742673;8.33748E-05;0;57.4;49.8;10112;22371;0.35;4.0;0.401817022;0.218507683;0.49340025;1.179466429;0.006;0.015;12.06449193;28.84;105.4294957;P4S29S0.png
9.99932137;1.800085922;0.29;0.67;0.00080028;0.007424046;8.33555E-05;0.003588069;57.4;49.8;10111;22363;0.35;4.0;0.401828622;0.218527382;0.493433357;1.179466429;0.006;0.015;12.06530146;28.84;40.17190155;P4S29S067.png
9.986979908;1.818488738;0.60;0.00;0.000791807;0.007403162;8.32526E-05;0;57.1;49.6;10015;22300;0.35;4.0;0.400885367;0.21692471;0.490734821;1.179466429;0.006;0.015;11.99931757;28.84;26.75012686;P4S6S0.png
10.07822674;1.886242203;-0.60;0.00;0.000771386;0.007421849;8.40132E-05;0;56.8;49.8;9797;22356;0.35;4.2;0.397406676;0.211000976;0.480671976;1.179466429;0.006;0.015;11.75326355;28.84;26.75012686;P4Sm6S0.png
9.990276678;1.83157539;0.60;0.72;0.000794554;0.007448719;8.32801E-05;0.003870062;57.2;49.9;10046;22437;0.35;4.0;0.401198856;0.217457525;0.491633084;1.179466429;0.006;0.015;12.02128165;28.84;23.51038815;P4S6S072.png
10.07914092;1.912893116;-0.60;0.76;0.000771306;0.007473755;8.40208E-05;0.004066288;56.8;50.1;9796;22513;0.35;4.2;0.397387738;0.210968671;0.480616712;1.179466429;0.006;0.015;11.75191225;28.84;20.11637616;P4Sm6S076.png
9.98554007;1.819771036;0.60;0.77;0.000794342;0.007422246;8.32406E-05;0.004091234;57.1;49.8;10043;22357;0.35;4.0;0.40121961;0.217492791;0.4916925;1.179466429;0.006;0.015;12.02273448;28.84;19.65355634;P4S6S076.png
10.0151253;1.788604028;0.87;0.00;0.000804723;0.007432861;8.34872E-05;0;57.5;49.8;10162;22389;0.35;4.0;0.402226998;0.219203803;0.494569261;1.179466429;0.006;0.015;12.09307628;28.84;26.75012686;P4S87S0.png
10.0400082;1.836511763;-0.87;0.00;0.000792427;0.007455408;8.36946E-05;0;57.3;50.0;10028;22457;0.35;4.0;0.400435045;0.216159038;0.489442021;1.179466429;0.006;0.015;11.96770636;28.84;27.83003977;P4Sm87S0.png
10.01416541;1.767663304;0.87;0.76;0.000804275;0.007386098;8.34792E-05;0.00403345;57.5;49.5;10157;22248;0.35;4.0;0.402180549;0.219124949;0.494436935;1.179466429;0.006;0.015;12.08984068;28.84;20.27064943;P4S87S075.png
10.04107665;1.812202489;-0.87;0.80;0.00079011;0.007390812;8.37035E-05;0.004251243;57.2;49.6;10002;22263;0.35;4.0;0.400133076;0.215645415;0.48857349;1.179466429;0.006;0.015;11.94646927;28.84;19.49928307;P4Sm87S08.png
10.01186281;1.725110732;0.87;1.04;0.000804733;0.007299113;8.346E-05;0.005474875;57.5;48.9;10162;21986;0.36;4.0;0.402261077;0.219261656;0.494666329;1.179466429;0.006;0.015;12.09544975;28.84;16.41381762;P4S87S104.png
9.996835937;3.089690545;0.29;0.00;0.000558908;0.007597589;8.33347E-05;0;50.1;50.9;7424;22886;0.35;6.0;0.369899333;0.163420126;0.394435655;1.179466429;0.006;0.015;9.644635931;28.84;114.5316188;P6S29S0.png
9.995093276;3.125959651;0.29;0.64;0.000558576;0.007638579;8.33202E-05;0.003512778;50.1;51.2;7420;23009;0.35;6.0;0.369866606;0.163362722;0.394325415;1.179466429;0.006;0.015;9.641940363;28.84;42.33172736;P6S29S064.png
9.997732978;3.084327269;0.29;0.93;0.000558955;0.007591649;8.33422E-05;0.005102773;50.1;50.9;7425;22868;0.35;6.0;0.369898971;0.163419491;0.394434435;1.179466429;0.006;0.015;9.644606088;28.84;24.74457432;P6S29S093.png
9.988694;3.182359656;0.60;0.00;0.000553112;0.007655207;8.32669E-05;0;49.9;51.3;7359;23059;0.35;6.1;0.369153078;0.162110699;0.391917065;1.179466429;0.006;0.015;9.583052015;28.84;29.37277249;P6S6S0.png
10.08347186;3.086528059;-0.60;0.00;0.000568008;0.00769807;8.4057E-05;0;50.7;51.6;7536;23188;0.35;5.9;0.370487276;0.164451068;0.396412801;1.179466429;0.006;0.015;9.692980561;28.84;29.83559231;P6Sm6S0.png
9.991122297;3.198551422;0.60;0.68;0.000553081;0.007674993;8.32871E-05;0.003750672;49.9;51.5;7359;23119;0.35;6.1;0.369129915;0.162070039;0.391838726;1.179466429;0.006;0.015;9.581136513;28.84;25.9787605;P6S6S068.png
10.07936947;3.070076992;-0.60;0.74;0.000558515;0.007590657;8.40228E-05;0.004054257;50.4;50.9;7430;22865;0.36;6.0;0.369205976;0.16220355;0.392095928;1.179466429;0.006;0.015;9.587425543;28.84;21.81338215;P6Sm6S075.png
9.986431398;3.205450494;0.60;0.75;0.000552996;0.007681271;8.3248E-05;0.004150683;49.9;51.5;7357;23138;0.35;6.1;0.369154311;0.162112862;0.391921232;1.179466429;0.006;0.015;9.583153924;28.84;21.35056233;P6S6S075.png
10.01150856;3.124752874;0.87;0.00;0.000558287;0.007638645;8.34571E-05;0;50.1;51.2;7419;23009;0.35;6.0;0.369698611;0.163068024;0.393759223;1.179466429;0.006;0.015;9.628095981;28.84;29.06422595;P6S87S0.png
10.04137376;3.168380808;-0.87;0.00;0.00055611;0.007679403;8.3706E-05;0;50.2;51.5;7399;23132;0.35;6.1;0.369164316;0.162130424;0.391955066;1.179466429;0.006;0.015;9.583981224;28.84;29.37277249;P6Sm87S0.png
10.01189138;3.211372398;0.87;0.70;0.000558087;0.00774204;8.34602E-05;0.003875122;50.1;51.9;7417;23321;0.35;6.0;0.36966773;0.163013847;0.393655089;1.179466429;0.006;0.015;9.625549716;28.84;23.66466142;P6S87S069.png
10.04313928;3.231601215;-0.87;0.77;0.000555885;0.007754008;8.37207E-05;0.004298832;50.2;52.0;7396;23357;0.35;6.1;0.369119442;0.162051655;0.391803303;1.179466429;0.006;0.015;9.580270351;28.84;20.57919597;P6Sm87S077.png
10.06122866;17.76924872;0.00;0.20;0.001502128;0.006775817;8.38715E-05;0.002431739;28.3;90.3;10820;17386;0.35;2.0;0.477802126;0.342817146;0.675795005;1.179466429;0.01;0.015;16.52436004;28.84;68.10275343;P2S0S02.png
10.06479968;17.60650418;0.87;0.89;0.001514846;0.006790132;8.39013E-05;0.006790132;28.4;90.5;10907;17423;0.35;2.0;0.47895883;0.344639009;0.678124363;1.179466429;0.01;0.015;16.58131688;28.84;50.35393752;P2S87S089.png
10.03913973;56.03514553;0.00;0.80;0.000793498;0.007465705;8.36874E-05;0.006674327;20.6;99.5;6024;19157;0.35;4.0;0.400578384;0.216402793;0.489853841;1.179466429;0.01;0.015;11.97777606;28.84;31.68687158;P4S0S08.png
10.05625208;54.91000962;0.29;0.80;0.000803469;0.007459732;8.383E-05;0.006674757;20.8;99.4;6092;19141;0.35;4.0;0.401657663;0.218237022;0.492945207;1.179466429;0.01;0.015;12.05336534;28.84;25.9787605;P4S29S08.png
10.04468196;55.63475765;0.60;0.00;0.000795465;0.007453232;8.37336E-05;0;20.7;99.3;6037;19125;0.35;4.0;0.400770338;0.216729163;0.490404869;1.179466429;0.01;0.015;11.99124966;28.84;75.96330072;P4S6S0.png
10.05580642;54.37326679;0.87;0.00;0.000801188;0.007408145;8.38263E-05;0;20.7;98.7;6077;19009;0.35;4.0;0.401376839;0.217759954;0.492142446;1.179466429;0.01;0.015;12.03373643;28.84;72.87783528;P4S87S0.png
10.05562929;55.07304393;0.87;0.74;0.000803254;0.007469248;8.38249E-05;0.006202814;20.7;99.5;6090;19166;0.35;4.0;0.401637027;0.218201969;0.492886255;1.179466429;0.01;0.015;12.05192384;28.84;28.29285959;P4S87S074.png
10.06271421;56.49247343;0.87;0.89;0.000804032;0.007571638;8.38839E-05;0.007571638;20.8;100.9;6096;19428;0.35;4.0;0.401663565;0.218247047;0.492962067;1.179466429;0.01;0.015;12.05377759;28.84;18.11082362;P4S87S089.png
10.04077954;96.63407766;0.00;0.80;0.000559302;0.007710518;8.37011E-05;0.006885709;18.1;102.8;4460;19785;0.35;6.0;0.369612794;0.162917464;0.393469796;1.179466429;0.01;0.015;9.621018982;28.84;33.07533103;P6S0S08.png
10.05905176;95.97537887;0.29;0.80;0.000561333;0.007707456;8.38534E-05;0.006879669;18.1;102.7;4475;19777;0.35;6.0;0.369753277;0.163163925;0.39394352;1.179466429;0.01;0.015;9.632602371;28.84;20.4249227;P6S29S08.png
10.10306965;95.92001239;0.60;0.00;0.000561367;0.007716764;8.42203E-05;0;18.2;102.8;4479;19801;0.35;6.0;0.369418679;0.162576853;0.392814626;1.179466429;0.01;0.015;9.604998948;28.84;37.39498265;P6S6S0.png
10.08635725;98.42849297;0.60;0.82;0.000561158;0.007810771;8.4081E-05;0.007167689;18.2;104.1;4476;20042;0.35;6.0;0.369518395;0.162751832;0.39315127;1.179466429;0.01;0.015;9.61323047;28.84;26.44158032;P6S6S082.png
10.09083103;95.66994033;0.60;0.89;0.000560914;0.007699445;8.41183E-05;0.007699445;18.2;102.6;4475;19756;0.35;6.0;0.36945017;0.162632115;0.39292096;1.179466429;0.01;0.015;9.607599005;28.84;18.26509689;P6S6S089.png
10.01525671;95.45153652;0.87;0.00;0.000559017;0.007654102;8.34883E-05;0;18.1;102.0;4457;19640;0.35;6.0;0.369771171;0.163195316;0.394003835;1.179466429;0.01;0.015;9.634077179;28.84;37.7035292;P6S87S0.png
10.02151315;94.14730997;0.87;0.89;0.000559984;0.007611979;8.35405E-05;0.007611979;18.1;101.4;4463;19532;0.35;6.0;0.369857097;0.163346042;0.394293379;1.179466429;0.01;0.015;9.641157035;28.84;18.57364343;P6S87S089.png
10.00873745;1.7838818;0;0;0.001495094;0.006752693;8.3434E-05;0;28.2;28.5;10769.41639;14619.74592;0.349116991;2.01912227;0.47787896;0.342938226;0.675950082;1.179466429;0.01;0.02;16.52815195;28.84;131.6630515;P2S0S0.jpg
10.01233704;1.732130476;0.288675135;0;0.00150971;0.006705683;8.3464E-05;0;28.3;28.3;10869.21542;14517.96829;0.350635082;1.999192418;0.479221451;0.345052365;0.678651658;1.179466429;0.01;0.02;16.59421018;28.84;137.5885259;P2S29S0.jpg
10.05722911;1.775246378;0.595876796;0;0.001504196;0.00677555;8.38382E-05;0;28.3;28.6;10834.25325;14669.23314;0.349457792;2.016480909;0.478055754;0.343216795;0.676306722;1.179466429;0.01;0.02;16.53687242;28.84;109.7491474;P2S6S0.png
10.05924031;1.887456645;0.595876796;0.770195092;0.001462709;0.00683499;8.3855E-05;0.002999997;27.9;28.8;10551.78919;14797.92128;0.348764416;2.077591747;0.47405141;0.336895562;0.668163662;1.179466429;0.01;0.02;16.33776049;28.84;45.10864627;P2S6S077.png
10.05572071;1.753447014;0.595876796;1.425800343;0.001462591;0.006586962;8.38256E-05;0.005352122;27.9;27.8;10550.77365;14260.93462;0.35950194;2.076999489;0.474089374;0.336955607;0.66824151;1.179466429;0.01;0.02;16.33966399;28.84;27.83003977;P2S6S142.png
10.00685766;1.773365004;0.866025404;0;0.001500427;0.006751375;8.34183E-05;;28.2;28.5;10805.64307;14616.89379;0.34887916;2.011123195;0.478415417;0.343783361;0.677031445;1.179466429;0.01;0.02;16.55459316;28.84;94.02054489;P2S87S0.png
10.05892606;5.470652569;0.595876796;0;0.000805679;0.007456783;8.38523E-05;0;20.8;31.4;6106.86713;16144.11882;0.35025601;3.968553914;0.401907063;0.218660592;0.493657197;1.179466429;0.01;0.02;12.07077472;28.84;126.4106608;P4S6S0.png
10.05180115;5.413873811;0.595876796;0.561440603;0.000805476;0.007415131;8.37929E-05;0.002372492;20.8;31.3;6105.005827;16053.94101;0.351805785;3.966533459;0.401952973;0.218738553;0.493788166;1.179466429;0.01;0.02;12.07397714;28.84;53.59367624;P4S6S056.png
10.06230854;9.543955657;0;0;0.000565199;0.007717674;8.38805E-05;0;18.2;32.5;4501.121004;16708.95483;0.34950274;5.953586712;0.370263585;0.164058905;0.395661309;1.179466429;0.01;0.02;9.674605285;28.84;150.0968041;P6S0S0.png
10.05233252;9.480905732;0.595876796;0;0.000561388;0.007654957;8.37974E-05;0;18.1;32.3;4475.04418;16573.16975;0.352008958;5.994111875;0.369812925;0.163268559;0.394144549;1.179466429;0.01;0.02;9.637517883;28.84;133.0444115;P6S6S0.png
10.05677202;9.660954802;0.595876796;0.599657997;0.000560832;0.007723332;8.38344E-05;0.002639311;18.1;32.6;4471.67639;16721.20427;0.349253488;6.004213182;0.369701441;0.163072989;0.393768764;1.179466429;0.01;0.02;9.628329287;28.84;54.98213569;P6S6S06.png
