PWR;J;S1;S2;m1;m2;mH2;mAzi;u1;u2;Re1;Re2;PhiTot;PhiInt;Xst;Zst;rho1;rho2;d1;d2;MW1;MW2;Image_Name
10.06122866;17.76924872;0.00;0.20;0.001502128;0.006775817;8.38715E-05;0.002431739;28.3;90.3;10820;17386;0.35;2.0;0.477802126;0.342817146;0.675795005;1.179466429;0.01;0.015;16.52436004;28.84;P2S0S02.png
10.04178514;17.55414132;0.288675135;0;0.001506435;0.006747084;8.37094E-05;0;28.32;89.92;10848.61;17312.71;0.35;2.01;0.478488714;0.343898799;0.677179006;1.179466429;0.01;0.015;16.55820126;28.84;P2S29S0.png
10.0458304;17.69311927;0.288675135;0.721738523;0.001506415;0.006774251;8.37432E-05;0.005476898;28.33;90.28;10848.71;17382.42;0.35;2.01;0.478429141;0.343804976;0.677059078;1.179466429;0.01;0.015;16.55526884;28.84;P2S29S072.png
10.06479968;17.60650418;0.866025404;0.892702116;0.001514846;0.006790132;8.39013E-05;0.006790132;28.44;90.49;10907.26;17423.17;0.35;2.00;0.47895883;0.344639009;0.678124363;1.179466429;0.01;0.015;16.58131688;28.84;P2S87S089.png
10.03913973;56.03514553;0;0.798074167;0.000793498;0.007465705;8.36874E-05;0.006674327;20.62;99.50;6023.80;19156.66;0.35;4.03;0.400578384;0.216402793;0.489853841;1.179466429;0.01;0.015;11.97777606;28.84;P4S0S08.png
10.04387633;55.62642987;0.288675135;0;0.000798368;0.007471751;8.37269E-05;0;20.68;99.58;6056.79;19172.18;0.35;4.00;0.4011426;0.217361923;0.491471993;1.179466429;0.01;0.015;12.0173427;28.84;P4S29S0.png
10.04483623;56.04549032;0.288675135;0.808804625;0.00079814;0.007498532;8.37349E-05;0.006793808;20.68;99.93;6055.33;19240.90;0.35;4.00;0.401104405;0.217297011;0.491362594;1.179466429;0.01;0.015;12.01466771;28.84;P4S29S081.jpg
10.05625208;54.91000962;0.288675135;0.798764513;0.000803469;0.007459732;8.383E-05;0.006674757;20.75;99.42;6091.86;19141.34;0.35;3.98;0.401657663;0.218237022;0.492945207;1.179466429;0.01;0.015;12.05336534;28.84;P4S29S08.png
10.04751592;55.63518668;0.288675135;0.840550395;0.000798264;0.007472437;8.37572E-05;0.007035897;20.69;99.59;6056.34;19173.94;0.35;4.00;0.401093267;0.217278081;0.491330688;1.179466429;0.01;0.015;12.01388755;28.84;P4S29S084.jpg
10.04468196;55.63475765;0.595876796;0;0.000795465;0.007453232;8.37336E-05;0;20.65;99.33;6037.38;19124.66;0.35;4.02;0.400770338;0.216729163;0.490404869;1.179466429;0.01;0.015;11.99124966;28.84;P4S6S0.png
