Name,PWR,J,PhiTot,PhiInt,PhiInt_rescaled,S1,S2,m1,m2,mH2,mAzi,d1,d2,u1,u2,Nfentes,Chamber,Re1,Re2,S1p2,rtheta,Xst,Zst,rho1,rho2,MW1,MW2,u2/u1,DeltaU,ALPHA,r_utheta,Attaché (I/O),Groupe,Type,OH* (Y/N),NOx (Y/N),NO(ppmv dry),NOX(ppmv dry),EINOx,Note,Lf (m)
D10-Db15-PW10-PHI35-PRE2-S10-S210-20230310,9.99940707469392,17.464746166178475,0.35055614332240687,2.008447522851472,0.6676026447514105,0.0,0.8472052697019303,0.0015011961339652458,0.0067054156255722044,8.335617768167656e-05,,0.01,0.015,28.21669772071116,89.36453866003617,2,New,10810.45116564632,17205.795386707356,0.7912710023828148,,0.47859556637524786,0.3440670704868186,0.6773940384828004,1.1794664292299075,16.5634591928143,28.840000000000003,3.1670799873382163,61.147840939325015,0.8,,1,A,II,Y,Y,,6.25,0.899967783969623,,0.03708643610743957
D10-Db15-PW10-PHI35-PRE2-S129-S206-20230314,9.997824396415105,17.288524271318742,0.35045136135314864,1.9970658593047352,0.666340331863117,0.28867513459481287,0.6001547238324367,0.0015090377932581863,0.006698703446388246,8.334298429822527e-05,,0.01,0.015,28.299447699099048,89.2750839819562,2,New,10863.795418190344,17188.572236333544,0.5729811261545376,9.837787071962959,0.47936586695400063,0.34527962729507117,0.6789413748655516,1.1794664292299073,16.601294251254817,28.84,3.1546581732334795,60.97563628285715,0.8,5.421002812915453,1,A,I,Y,Y,,6.55,0.9434706424900432,,0.057141961503965256
D10-Db15-PW10-PHI35-PRE2-S129-S208-20230314,9.99339632541841,17.27110680286036,0.35053786766198175,1.9966389850668294,0.6662928017077444,0.28867513459481287,0.7969559636848985,0.0015086741086261038,0.006693427829742432,8.33060714022875e-05,,0.01,0.015,28.29020273977165,89.2047746866006,2,New,10861.060091760688,17175.035240923386,0.7566276017080461,13.057746940875681,0.4793948837249086,0.3453252859772074,0.6789995649343064,1.1794664292299073,16.602717099367574,28.84,3.1532037966342488,60.91457194682895,0.8,7.195325775911621,1,A,II,Y,Y,,5.125,0.7380151149204945,,0.027675766498300593
D10-Db15-PW10-PHI35-PRE4-S10-S208-20230315,10.039139727224256,56.03514552564235,0.3496993360549434,4.027794363454315,0.8011056284901524,0.0,0.7980741670406468,0.0007934982870603243,0.0074657045316696155,8.368739352471036e-05,,0.01,0.015,20.62479282933187,99.49707497629782,2,New,6023.80240686378,19156.66257877337,0.7808700168803545,,0.40057838421300823,0.21640279278569727,0.4898538405331208,1.1794664292299073,11.977776061162846,28.84,4.824149061744587,78.87228214696596,0.8,,1,A,II,Y,Y,,5.4,0.7796286885330799,,0.032458237939010565
D10-Db15-PW10-PHI35-PRE4-S129-S208-20230315,10.056252079011474,54.91000961696212,0.35013030267487566,3.9795602789914826,0.799179055183055,0.28867513459481287,0.7987645129609401,0.0008034687516442179,0.0074597322130203255,8.38300440064311e-05,,0.01,0.015,20.75297969480008,99.41748058116605,2,New,6091.858107518422,19141.337877307873,0.7854322134217011,19.88304686276712,0.4016576633833408,0.21823702188795324,0.4929452071929416,1.179466429229907,12.05336533802547,28.839999999999996,4.790515966537391,78.66450088636597,0.8,10.956331152924971,1,A,II,Y,Y,,4.6,0.663245903484768,,0.026750126864614792
D10-Db15-PW10-PHI35-PRE6-S10-S208-20230315,10.04077954190303,96.63407765920175,0.3493034103199866,6.012267046250865,0.857392767074572,0.0,0.7972080666762502,0.0005593019114015301,0.007710518217086792,8.370106320359312e-05,,0.01,0.015,18.09860169841545,102.75976043483006,2,New,4460.324235144057,19784.843502128766,0.7871516539805622,,0.3696127939230517,0.16291746372618138,0.39346979557251527,1.1794664292299073,9.62101898204972,28.84,5.677773462677328,84.6611587364146,0.8,,1,A,II,Y,Y,,5.5,0.7950376339821178,,0.033846697389539264
D10-Db15-PW10-PHI35-PRE6-S129-S208-20230315,10.059051762609386,95.97537887072525,0.34998968426356625,5.999512619644412,0.8571329099124044,0.28867513459481287,0.7968252121957924,0.0005613326543713053,0.007707456016540527,8.385338248257241e-05,,0.01,0.015,18.142472122611156,102.71894981929445,2,New,4475.175221856323,19776.986033036002,0.7891496383344933,23.442237161069105,0.3697532772203311,0.16316392535760654,0.39394352019201917,1.1794664292299075,9.6326023706803,28.840000000000003,5.661794551762035,84.5764776966833,0.8,12.91758325948704,0,C,IV,Y,Y,,3.7,0.5337117498629385,,0.021196289062499988
D10-Db15-PW125-PHI35-PRE2-S10-S208-20230315,12.501170055945973,17.48188537999288,0.3497317086197668,2.0034866494860504,0.6670536224387354,0.0,0.7994024424155254,0.001881171193323072,0.008402602257728577,0.00010421115418427788,,0.01,0.015,35.32364580417183,111.98331561164267,2,New,13545.038285430825,21560.700072193664,0.7466725485224021,,0.4789305175903819,0.3445944396034249,0.6780674812090581,1.1794664292299075,16.57992603556959,28.840000000000003,3.170208314069809,76.65966980747083,0.8,,1,A,II,Y,Y,,5.2,0.750678552185564,,0.038320622285687306
D10-Db15-PW125-PHI35-PRE2-S129-S208-20230315,12.53678317403938,17.767201324479206,0.35227272880932564,2.0392499892728946,0.670971455612561,0.28867513459481287,0.7961900832102121,0.0018552780329223275,0.008384155068397521,0.00010450802912670373,,0.01,0.015,35.08690614097113,111.73746589013443,2,New,13370.699179121437,21513.36541274623,0.7569643664999096,13.175053538321713,0.4765429380472622,0.3408315487573497,0.6732464095022632,1.1794664292299073,16.462042470104528,28.84,3.1845915807224197,76.6505597491633,0.8,7.2599662677292205,1,A,II,Y,Y,,4.7,0.6732158899345349,,0.029835592310234128
D10-Db15-PW75-PHI35-PRE2-S10-S208-20230315,7.510431219752318,17.600562171836728,0.34993699083137586,2.0120971035394497,0.6680053910529904,0.0,0.7999364550851324,0.0011255983089445353,0.005049081625938416,6.260779609663487e-05,,0.01,0.015,21.172361890386114,67.29021366521901,2,New,8106.434879422764,12955.716721775423,0.7475038004316127,,0.4783499329114875,0.34368022065699805,0.6768995758975633,1.179466429229907,16.551368724951175,28.839999999999996,3.1782100652537006,46.1178517748329,0.8,,1,A,II,Y,Y,,7.4,1.0675969808417516,,0.03708643610743957
D10-PW10-PHI35-PRE2-S10-S202-20230130,10.030586408150638,1.7654441540063697,0.3494330158738147,2.010451052276963,0.6678238633896248,0.0,0.1592337060809944,0.0015044596766361274,0.006753931980133056,8.361609209862153e-05,0.00123218827459668,0.01,0.02,28.28938020543974,28.480083061966685,4,New,10834.501589473066,14622.42895920316,0.13038460060480492,,0.4784606379214574,0.3438545820972154,0.6771224890194858,1.1794664292299073,16.55681933742892,28.84,1.0067411465059342,0.19070285652694352,0.6,,1,A,I,Y,Y,,14.549999999999999,2.102394083832883,,0.13677022315611093
D10-PW10-PHI35-PRE2-S10-S204-20230130,10.027083946833253,1.7508415502286094,0.3505434701437488,2.0097955596060806,0.6677515199301846,0.0,0.3199608544576256,0.0015043975970357498,0.006725223336219789,8.358689518867333e-05,0.00245390133134588,0.01,0.02,28.284502922193038,28.35902401582122,4,New,10833.87492156715,14560.27403857742,0.26159678206099285,,0.4785047603992994,0.34392407022281585,0.6772113043031538,1.179466429229907,16.55899102516628,28.839999999999996,1.002634696951655,0.07452109362818149,0.6,,1,A,I,Y,Y,,16.200000000000003,2.332807531429473,,0.13775218647708795
D10-PW10-PHI35-PRE2-S10-S206-20230130,10.018896300719367,1.7788447476289664,0.34787187281372306,2.007001932315142,0.6674428475574397,0.0,0.4786190628568008,0.001505145245656709,0.0067802648496627805,8.351864205334584e-05,0.00371097734075044,0.01,0.02,28.282738883205997,28.591123906569877,4,New,10838.493451193592,14679.440269817926,0.3924410593917749,,0.4786930440714658,0.3442205633487107,0.6775901214002253,1.1794664292299073,16.568253760254617,28.84,1.0109036477915863,0.3083850233638792,0.6,,1,A,I,Y,Y,,18.125,2.6316454195798378,,0.12809621382081388
D10-PW10-PHI35-PRE2-S10-S208-20230130,10.018644900559554,1.7822566745258066,0.3476747082007312,2.0075755535845015,0.6675062746775635,0.0,0.6369485107841376,0.0015047012888041616,0.006785152039527892,8.351654635344745e-05,0.00495153626601808,0.01,0.02,28.277644368108497,28.611732283098902,4,New,10835.45367820422,14690.021156155386,0.5224425001982865,,0.4786543517462335,0.34415963836384145,0.6775122987543163,1.179466429229907,16.566350861577387,28.839999999999996,1.0118145596090453,0.33408791499040547,0.6,,1,A,II,Y,Y,,23.150000000000002,3.363302773630727,,0.08096197441391674
D10-PW10-PHI35-PRE2-S10-S210-20230202,10.026518296473679,1.7513681805785883,0.34899973674694645,1.998891670941448,0.6665434734806316,0.0,0.8050034773030641,0.0015120627692537028,0.006753124299049376,8.358217986390196e-05,0.006160204605746299,0.01,0.02,28.366569360861053,28.47667722009288,4,New,10886.074755480868,14620.680309779013,0.6581988627166769,,0.4792418608598097,0.34508448590395385,0.6786926143391544,1.1794664292299073,16.595211624904884,28.84,1.0038816064724327,0.11010785923182809,0.6,,1,A,II,Y,Y,,25.525,3.693161989649517,,0.08079831386042056
D10-PW10-PHI35-PRE2-S129-S20-20230202,10.012337042004265,1.7321304759024871,0.35063508192046733,1.9991924179507503,0.6665769111662175,0.28867513459481287,0.0,0.001509709557362473,0.006705682797431946,8.346396333781482e-05,0.0,0.01,0.02,28.324131908401725,28.276625174762355,4,New,10869.215421886902,14517.968291186078,0.0265606956927428,0.0,0.47922145069005434,0.3450523653329106,0.678651658492077,1.179466429229907,16.594210183405202,28.839999999999996,0.9983227470556555,0.04750673363936997,0.6,0.0,1,A,I,Y,Y,,17.3,2.490505441013112,,0.13758852592359178
D10-PW10-PHI35-PRE2-S129-S202-20230202,10.006634829288522,1.7370365845517313,0.3506744555731942,2.0024353762379024,0.666937044535821,0.28867513459481287,0.16059116963388642,0.001506541250239821,0.006703259754180908,8.341642905375561e-05,0.00122294362676049,0.01,0.02,28.283080427926794,28.266407649140945,4,New,10847.293873428443,14512.72234291364,0.15760711264907923,1.1119523814626076,0.47900165575115805,0.34470642222298203,0.6782103881747155,1.179466429229907,16.583420358754562,28.839999999999996,0.9994105034340819,0.01667277878584983,0.6,0.50078737768077,1,A,I,Y,Y,,18.125,2.6089560669463667,,0.13938879201204965
D10-PW10-PHI35-PRE2-S129-S204-20230203,10.084888842670097,1.8102382805861026,0.35058314408271646,2.0456513768391553,0.6716630118586251,0.28867513459481287,0.3215527458399928,0.0014880229759422342,0.0067881135368347174,8.406876327667636e-05,0.0024768487249567997,0.01,0.02,28.177172939389937,28.624220369969517,4,New,10725.690640517902,14696.4328707106,0.2900993249351909,2.26312785713814,0.4761221308624089,0.34016744471850596,0.6723916911464194,1.1794664292299075,16.44114312378008,28.840000000000003,1.0158655884868646,0.4470474305795804,0.6,1.0192395680125814,1,A,I,Y,Y,,18.299999999999997,2.6348865991104984,,0.13875958967646487
D10-PW10-PHI35-PRE2-S129-S206-20230203,10.084048937590726,1.8174034376115784,0.34991768148135743,2.0449661242754646,0.671589121459292,0.28867513459481287,0.48085089203379444,0.0014883694633215107,0.006802655906677247,8.406176173383399e-05,0.0037232324232669097,0.01,0.02,28.17990439903786,28.685542856226615,4,New,10728.001617357646,14727.91745932451,0.42131790992359053,3.391209360925618,0.47616708356072956,0.3402384004759283,0.6724830684457187,1.1794664292299073,16.443377457243486,28.84,1.0179432282675174,0.5056384571887556,0.6,1.5272909805639276,1,A,II,Y,Y,,15.149999999999999,2.185818590295598,,0.054681039989026264
D10-PW10-PHI35-PRE2-S129-S208-20230203,10.081729199752454,1.8124965321545274,0.3502520951024038,2.044536093314941,0.6715427344757856,0.28867513459481287,0.6394243401857209,0.0014883223809569438,0.006792961678504944,8.404242413931688e-05,0.004957235432432341,0.01,0.02,28.176609690492093,28.644664087476656,4,New,10727.545220058388,14706.929216745113,0.5516428593019268,4.50365153741438,0.4761953051193928,0.34028294532669895,0.6725404268165797,1.1794664292299073,16.444779968900143,28.84,1.016611451914405,0.46805439698456297,0.6,2.0282989460781673,1,A,II,Y,Y,,12.100000000000001,1.7439703005161609,,0.04064223627974753
D10-PW10-PHI35-PRE2-S129-S210-20230203,10.080260794273551,1.812244011200522,0.3503192123680174,2.0448847284800324,0.6715803423864958,0.28867513459481287,0.8012111368208,0.0014878662238435548,0.006790641393661499,8.40301833467285e-05,0.006194427725118809,0.01,0.02,28.16992161507297,28.634879875070734,4,New,10724.352177648818,14701.90574295411,0.6847306575955563,5.642574775552184,0.47617242462942494,0.3402468309011329,0.6724939243209486,1.1794664292299073,16.443642902222564,28.84,1.0165054864671323,0.46495825999776486,0.6,2.5412331250189064,1,A,II,Y,Y,,10.2,1.469819706730144,,0.034162788413926566
